acc	R1
SRS3371817	ftp.sra.ebi.ac.uk/vol1/fastq/SRR725/008/SRR7255038/SRR7255038_subreads.fastq.gz
SRS3371818	ftp.sra.ebi.ac.uk/vol1/fastq/SRR725/006/SRR7255036/SRR7255036_subreads.fastq.gz
SRS805922	ftp.sra.ebi.ac.uk/vol1/fastq/SRR173/009/SRR1738039/SRR1738039.fastq.gz
SRS807702	ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/008/SRR1740598/SRR1740598.fastq.gz
SRS807711	ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/000/SRR1740610/SRR1740610.fastq.gz
SRS807712	ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/002/SRR1740612/SRR1740612.fastq.gz
SRS805942	ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/002/SRR1740392/SRR1740392.fastq.gz
SRS805943	ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/008/SRR1740488/SRR1740488.fastq.gz
SRS807544	ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/007/SRR1740587/SRR1740587.fastq.gz
SRS807701	ftp.sra.ebi.ac.uk/vol1/fastq/SRR174/006/SRR1740596/SRR1740596.fastq.gz
SRP081144	ftp.sra.ebi.ac.uk/vol1/fastq/SRR401/003/SRR4019023/SRR4019023.fastq.gz
SRP081144	ftp.sra.ebi.ac.uk/vol1/fastq/SRR403/003/SRR4034883/SRR4034883.fastq.gz
SRR5098034	ftp.sra.ebi.ac.uk/vol1/fastq/SRR509/004/SRR5098034/SRR5098034.fastq.gz
SRR5099324	ftp.sra.ebi.ac.uk/vol1/fastq/SRR509/004/SRR5099324/SRR5099324.fastq.gz
SRR5099325	ftp.sra.ebi.ac.uk/vol1/fastq/SRR509/005/SRR5099325/SRR5099325.fastq.gz
SRR5099326	ftp.sra.ebi.ac.uk/vol1/fastq/SRR509/006/SRR5099326/SRR5099326.fastq.gz
SRR5278291	ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/001/SRR5278291/SRR5278291.fastq.gz
SRR5278295	ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/005/SRR5278295/SRR5278295.fastq.gz
SRR5278301	ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/001/SRR5278301/SRR5278301.fastq.gz
SRR5278298	ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/008/SRR5278298/SRR5278298.fastq.gz
SRR5278293	ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/003/SRR5278293/SRR5278293.fastq.gz
