gene_id	gene_name
PVP01_0934200	ama1
PVP01_0728900	msp1
PVP01_1402400	rbp2a
PVP01_1010900	mdr1
PVP01_1429500	pppk-dhps
PVP01_0526600	dhfr-ts
PVP01_0623800	dbp
PVP01_0102300	dbp2
PVP01_0701200	rbp1a
PVP01_0701100	rbp1b
PVP01_0800700	rbp2b
PVP01_0534300	rbp2c
PVP01_0505600	gama
PVP01_0532900	trag11
PVP01_0000110	trag26
PVP01_1401800	trag21
PVP01_0700700	trag34
PVP01_0949200	trag36
PVP01_0000140	trag36
PVP01_0000170	trag32
PVP01_0503600	trag38
PVP01_1101400	trag19
PVP01_1469800	trag22
PVP01_0109300	crt
PVP01_0835600	csp
