Name	Copy	Chrom	Start	End	IncludedTargets	CaptureType
MAF40-1	C0	PvP01_01_v1	249967	250267	MAF40-1	targets
MAF40-2	C0	PvP01_01_v1	373431	373731	MAF40-2	targets
MAF40-3	C0	PvP01_01_v1	451912	452212	MAF40-3	targets
MAF40-4	C0	PvP01_01_v1	698963	699263	MAF40-4	targets
MAF40-5	C0	PvP01_01_v1	938113	938458	MAF40-5,MAF40-6,MAF40-7	targets
MAF40-8	C0	PvP01_01_v1	939161	939559	MAF40-8,MAF40-9,MAF40-10,MAF40-11,MAF40-12,MAF40-13,MAF40-14,MAF40-15	targets
MAF40-8	C1	Transfer.PvP01_00_4.final	76027	76425	MAF40-8,MAF40-9,MAF40-10,MAF40-11,MAF40-12,MAF40-13,MAF40-14,MAF40-15	targets
MAF40-16	C0	PvP01_02_v1	93920	94250	MAF40-16,MAF40-17,MAF40-18,MAF40-19	targets
MAF40-20	C0	PvP01_02_v1	106499	107005	MAF40-20,MAF40-21,MAF40-22,MAF40-23	targets
MAF40-24	C0	PvP01_02_v1	119670	119970	MAF40-24	targets
MAF40-25	C0	PvP01_02_v1	268637	268937	MAF40-25	targets
MAF40-26	C0	PvP01_02_v1	633470	633770	MAF40-26	targets
MAF40-27	C0	PvP01_02_v1	691822	692122	MAF40-27	targets
MAF40-28	C0	PvP01_02_v1	878167	878480	MAF40-28,MAF40-29	targets
MAF40-30	C0	PvP01_02_v1	878822	879122	MAF40-30	targets
MAF40-31	C0	PvP01_02_v1	954207	954507	MAF40-31	targets
MAF40-32	C0	PvP01_02_v1	955966	956327	MAF40-32,MAF40-33,MAF40-34,MAF40-35,MAF40-36,MAF40-37,MAF40-38,MAF40-39	targets
MAF40-40	C0	PvP01_03_v1	1279	1752	MAF40-40,MAF40-41	targets
MAF40-42	C0	PvP01_03_v1	114899	115222	MAF40-42,MAF40-43,MAF40-44	targets
MAF40-45	C0	PvP01_03_v1	115635	115935	MAF40-45	targets
MAF40-46	C0	PvP01_03_v1	129688	129989	MAF40-46,MAF40-47	targets
MAF40-48	C0	PvP01_03_v1	334859	335159	MAF40-48	targets
MAF40-49	C0	PvP01_03_v1	577391	577691	MAF40-49	targets
MAF40-50	C0	PvP01_03_v1	758270	758570	MAF40-50	targets
MAF40-51	C0	PvP01_03_v1	835421	835721	MAF40-51	targets
MAF40-52	C0	PvP01_04_v1	267315	267615	MAF40-52	targets
MAF40-53	C0	PvP01_04_v1	615704	616004	MAF40-53	targets
MAF40-54	C0	PvP01_04_v1	846221	846521	MAF40-54	targets
MAF40-55	C0	PvP01_04_v1	1010532	1010919	MAF40-55,MAF40-56	targets
MAF40-57	C0	PvP01_04_v1	1010991	1011748	MAF40-57,MAF40-58,MAF40-59,MAF40-60,MAF40-61,MAF40-62,MAF40-63,MAF40-64,MAF40-65,MAF40-66,MAF40-67,MAF40-68,MAF40-69,MAF40-70,MAF40-71,MAF40-72,MAF40-73,MAF40-74,MAF40-75,MAF40-76	targets
MAF40-77	C0	PvP01_05_v1	306860	307160	MAF40-77	targets
MAF40-78	C0	PvP01_05_v1	333686	333986	MAF40-78	targets
MAF40-79	C0	PvP01_05_v1	512395	512695	MAF40-79	targets
MAF40-80	C0	PvP01_05_v1	654619	654919	MAF40-80	targets
MAF40-81	C0	PvP01_05_v1	655198	655498	MAF40-81	targets
MAF40-82	C0	PvP01_05_v1	971728	972028	MAF40-82	targets
MAF40-83	C0	PvP01_05_v1	1491425	1491748	MAF40-83,MAF40-84,MAF40-85	targets
MAF40-86	C0	PvP01_06_v1	32176	32476	MAF40-86	targets
MAF40-87	C0	PvP01_06_v1	585030	585330	MAF40-87	targets
MAF40-88	C0	PvP01_06_v1	823488	823788	MAF40-88	targets
MAF40-89	C0	PvP01_06_v1	827334	827634	MAF40-89	targets
MAF40-90	C0	PvP01_06_v1	1017801	1018101	MAF40-90	targets
MAF40-91	C0	PvP01_06_v1	1030782	1031082	MAF40-91	targets
MAF40-92	C0	PvP01_07_v1	6605	6920	MAF40-92,MAF40-93	targets
MAF40-94	C0	PvP01_07_v1	13222	13522	MAF40-94	targets
MAF40-95	C0	PvP01_07_v1	108533	108833	MAF40-95	targets
MAF40-96	C0	PvP01_07_v1	158422	158722	MAF40-96	targets
MAF40-97	C0	PvP01_07_v1	832856	833156	MAF40-97	targets
MAF40-98	C0	PvP01_07_v1	879090	879474	MAF40-98,MAF40-99	targets
MAF40-100	C0	PvP01_07_v1	960494	960794	MAF40-100	targets
MAF40-101	C0	PvP01_07_v1	1133448	1133748	MAF40-101	targets
MAF40-102	C0	PvP01_07_v1	1172370	1172670	MAF40-102	targets
MAF40-103	C0	PvP01_07_v1	1175267	1175567	MAF40-103	targets
MAF40-104	C0	PvP01_07_v1	1401801	1402101	MAF40-104	targets
MAF40-105	C0	PvP01_07_v1	1415526	1415826	MAF40-105	targets
MAF40-106	C0	PvP01_07_v1	1419671	1419971	MAF40-106	targets
MAF40-107	C0	PvP01_07_v1	1429783	1430083	MAF40-107	targets
MAF40-108	C0	PvP01_07_v1	1438615	1438915	MAF40-108	targets
MAF40-109	C0	PvP01_07_v1	1445964	1446264	MAF40-109	targets
MAF40-110	C0	PvP01_07_v1	1448754	1449054	MAF40-110	targets
MAF40-111	C0	PvP01_07_v1	1483552	1483901	MAF40-111,MAF40-112	targets
MAF40-113	C0	PvP01_07_v1	1484538	1485284	MAF40-113,MAF40-114,MAF40-115,MAF40-116,MAF40-117,MAF40-118,MAF40-119,MAF40-120,MAF40-121,MAF40-122,MAF40-123,MAF40-124,MAF40-125,MAF40-126,MAF40-127	targets
MAF40-128	C0	PvP01_08_v1	12112	12415	MAF40-128,MAF40-129	targets
MAF40-130	C0	PvP01_08_v1	108388	108736	MAF40-130,MAF40-131,MAF40-132	targets
MAF40-133	C0	PvP01_08_v1	231530	231830	MAF40-133	targets
MAF40-134	C0	PvP01_08_v1	269180	269480	MAF40-134	targets
MAF40-135	C0	PvP01_08_v1	286675	286975	MAF40-135	targets
MAF40-136	C0	PvP01_08_v1	364888	365188	MAF40-136	targets
MAF40-137	C0	PvP01_08_v1	498476	498776	MAF40-137	targets
MAF40-138	C0	PvP01_08_v1	518460	518760	MAF40-138	targets
MAF40-139	C0	PvP01_08_v1	636533	636833	MAF40-139	targets
MAF40-140	C0	PvP01_08_v1	906601	906901	MAF40-140	targets
MAF40-141	C0	PvP01_08_v1	1445021	1445321	MAF40-141	targets
MAF40-142	C0	PvP01_08_v1	1694248	1694548	MAF40-142	targets
MAF40-143	C0	PvP01_08_v1	1759959	1760259	MAF40-143	targets
MAF40-144	C0	PvP01_09_v1	295573	295964	MAF40-144,MAF40-145,MAF40-146,MAF40-147,MAF40-148,MAF40-149,MAF40-150	targets
MAF40-151	C0	PvP01_09_v1	300604	300904	MAF40-151	targets
MAF40-152	C0	PvP01_09_v1	445429	445729	MAF40-152	targets
MAF40-153	C0	PvP01_09_v1	781981	782281	MAF40-153	targets
MAF40-154	C0	PvP01_09_v1	1121687	1121987	MAF40-154	targets
MAF40-155	C0	PvP01_09_v1	1202437	1202737	MAF40-155	targets
MAF40-156	C0	PvP01_09_v1	1235308	1235608	MAF40-156	targets
MAF40-157	C0	PvP01_09_v1	1456200	1456500	MAF40-157	targets
MAF40-158	C0	PvP01_09_v1	1507665	1507965	MAF40-158	targets
MAF40-159	C0	PvP01_09_v1	1657343	1657643	MAF40-159	targets
MAF40-160	C0	PvP01_09_v1	1705621	1705921	MAF40-160	targets
MAF40-161	C0	PvP01_09_v1	1716751	1717051	MAF40-161	targets
MAF40-162	C0	PvP01_09_v1	1739807	1740107	MAF40-162	targets
MAF40-163	C0	PvP01_09_v1	1866814	1867114	MAF40-163	targets
MAF40-164	C0	PvP01_10_v1	186909	187209	MAF40-164	targets
MAF40-165	C0	PvP01_10_v1	222348	222648	MAF40-165	targets
MAF40-166	C0	PvP01_10_v1	310388	310688	MAF40-166	targets
MAF40-167	C0	PvP01_10_v1	548300	548600	MAF40-167	targets
MAF40-168	C0	PvP01_10_v1	637010	637310	MAF40-168	targets
MAF40-169	C0	PvP01_10_v1	637951	638251	MAF40-169	targets
MAF40-170	C0	PvP01_10_v1	640739	641141	MAF40-170,MAF40-171	targets
MAF40-172	C0	PvP01_10_v1	1059007	1059307	MAF40-172	targets
MAF40-173	C0	PvP01_10_v1	1332144	1333089	MAF40-173,MAF40-174,MAF40-175,MAF40-176,MAF40-177,MAF40-178,MAF40-179,MAF40-180,MAF40-181,MAF40-182,MAF40-183,MAF40-184,MAF40-185,MAF40-186	targets
MAF40-187	C0	PvP01_10_v1	1340086	1340435	MAF40-187,MAF40-188	targets
MAF40-189	C0	PvP01_10_v1	1343556	1343883	MAF40-189,MAF40-190	targets
MAF40-191	C0	PvP01_10_v1	1343925	1344286	MAF40-191,MAF40-192,MAF40-193	targets
MAF40-194	C0	PvP01_10_v1	1344396	1344863	MAF40-194,MAF40-195,MAF40-196	targets
MAF40-197	C0	PvP01_10_v1	1348747	1349063	MAF40-197,MAF40-198	targets
MAF40-197	C1	Transfer.PvP01_00_89.final	2974	3290	MAF40-197,MAF40-198	targets
MAF40-199	C0	PvP01_10_v1	1371276	1371576	MAF40-199	targets
MAF40-200	C0	PvP01_10_v1	1372091	1372391	MAF40-200	targets
MAF40-201	C0	PvP01_10_v1	1372829	1373144	MAF40-201,MAF40-202	targets
MAF40-203	C0	PvP01_10_v1	1378715	1379015	MAF40-203	targets
MAF40-204	C0	PvP01_10_v1	1394437	1394737	MAF40-204	targets
MAF40-205	C0	PvP01_10_v1	1400191	1400491	MAF40-205	targets
MAF40-206	C0	PvP01_11_v1	107610	107910	MAF40-206	targets
MAF40-207	C0	PvP01_11_v1	157439	157739	MAF40-207	targets
MAF40-208	C0	PvP01_11_v1	415131	415431	MAF40-208	targets
MAF40-209	C0	PvP01_11_v1	689360	689660	MAF40-209	targets
MAF40-210	C0	PvP01_11_v1	742513	742813	MAF40-210	targets
MAF40-211	C0	PvP01_11_v1	758314	758614	MAF40-211	targets
MAF40-212	C0	PvP01_11_v1	760001	760301	MAF40-212	targets
MAF40-213	C0	PvP01_11_v1	871412	871713	MAF40-213,MAF40-214	targets
MAF40-215	C0	PvP01_11_v1	1068352	1068652	MAF40-215	targets
MAF40-216	C0	PvP01_11_v1	1138078	1138378	MAF40-216	targets
MAF40-217	C0	PvP01_11_v1	1413533	1413833	MAF40-217	targets
MAF40-218	C0	PvP01_11_v1	1591399	1591699	MAF40-218	targets
MAF40-219	C0	PvP01_11_v1	1677933	1678233	MAF40-219	targets
MAF40-220	C0	PvP01_11_v1	1810967	1811267	MAF40-220	targets
MAF40-221	C0	PvP01_11_v1	1814695	1814995	MAF40-221	targets
MAF40-222	C0	PvP01_11_v1	1818977	1819277	MAF40-222	targets
MAF40-223	C0	PvP01_11_v1	1863902	1864202	MAF40-223	targets
MAF40-224	C0	PvP01_11_v1	1872076	1872376	MAF40-224	targets
MAF40-225	C0	PvP01_11_v1	1898971	1899271	MAF40-225	targets
MAF40-226	C0	PvP01_11_v1	1980640	1980940	MAF40-226	targets
MAF40-227	C0	PvP01_11_v1	2013036	2013336	MAF40-227	targets
MAF40-228	C0	PvP01_11_v1	2106061	2106460	MAF40-228,MAF40-229,MAF40-230,MAF40-231,MAF40-232,MAF40-233	targets
MAF40-234	C0	PvP01_11_v1	2107224	2109253	MAF40-234,MAF40-235,MAF40-236,MAF40-237,MAF40-238,MAF40-239,MAF40-240,MAF40-241,MAF40-242,MAF40-243,MAF40-244,MAF40-245,MAF40-246,MAF40-247,MAF40-248,MAF40-249,MAF40-250,MAF40-251,MAF40-252,MAF40-253,MAF40-254,MAF40-255,MAF40-256,MAF40-257,MAF40-258,MAF40-259,MAF40-260	targets
MAF40-261	C0	PvP01_11_v1	2112364	2113620	MAF40-261,MAF40-262,MAF40-263,MAF40-264,MAF40-265,MAF40-266,MAF40-267,MAF40-268,MAF40-269,MAF40-270,MAF40-271,MAF40-272,MAF40-273,MAF40-274,MAF40-275,MAF40-276,MAF40-277,MAF40-278,MAF40-279,MAF40-280	targets
MAF40-281	C0	PvP01_11_v1	2116365	2116963	MAF40-281,MAF40-282,MAF40-283,MAF40-284,MAF40-285	targets
MAF40-286	C0	PvP01_11_v1	2122625	2122929	MAF40-286,MAF40-287	targets
MAF40-288	C0	PvP01_11_v1	2122931	2123231	MAF40-288	targets
MAF40-289	C0	PvP01_11_v1	2124083	2125175	MAF40-289,MAF40-290,MAF40-291,MAF40-292,MAF40-293,MAF40-294,MAF40-295,MAF40-296,MAF40-297,MAF40-298,MAF40-299,MAF40-300,MAF40-301,MAF40-302,MAF40-303,MAF40-304,MAF40-305,MAF40-306	targets
MAF40-307	C0	PvP01_12_v1	297951	298251	MAF40-307	targets
MAF40-308	C0	PvP01_12_v1	317249	317549	MAF40-308	targets
MAF40-309	C0	PvP01_12_v1	391784	392084	MAF40-309	targets
MAF40-310	C0	PvP01_12_v1	631481	631781	MAF40-310	targets
MAF40-311	C0	PvP01_12_v1	686263	686563	MAF40-311	targets
MAF40-312	C0	PvP01_12_v1	751098	751398	MAF40-312	targets
MAF40-313	C0	PvP01_12_v1	753395	753695	MAF40-313	targets
MAF40-314	C0	PvP01_12_v1	788086	788386	MAF40-314	targets
MAF40-315	C0	PvP01_12_v1	789425	789725	MAF40-315	targets
MAF40-316	C0	PvP01_12_v1	791930	792230	MAF40-316	targets
MAF40-317	C0	PvP01_12_v1	800971	801271	MAF40-317	targets
MAF40-318	C0	PvP01_12_v1	808101	808401	MAF40-318	targets
MAF40-319	C0	PvP01_12_v1	809339	809918	MAF40-319,MAF40-320,MAF40-321	targets
MAF40-322	C0	PvP01_12_v1	1077631	1077931	MAF40-322	targets
MAF40-323	C0	PvP01_12_v1	1420065	1420365	MAF40-323	targets
MAF40-324	C0	PvP01_12_v1	1420939	1421239	MAF40-324	targets
MAF40-325	C0	PvP01_12_v1	1430902	1431202	MAF40-325	targets
MAF40-326	C0	PvP01_12_v1	1534206	1534577	MAF40-326,MAF40-327	targets
MAF40-328	C0	PvP01_12_v1	1548963	1549263	MAF40-328	targets
MAF40-329	C0	PvP01_12_v1	1551280	1551580	MAF40-329	targets
MAF40-330	C0	PvP01_12_v1	1568243	1568543	MAF40-330	targets
MAF40-331	C0	PvP01_12_v1	1569077	1569377	MAF40-331	targets
MAF40-332	C0	PvP01_12_v1	1603495	1603795	MAF40-332	targets
MAF40-333	C0	PvP01_12_v1	1604501	1604801	MAF40-333	targets
MAF40-334	C0	PvP01_12_v1	1753403	1753703	MAF40-334	targets
MAF40-335	C0	PvP01_12_v1	1774329	1774629	MAF40-335	targets
MAF40-336	C0	PvP01_12_v1	1817560	1817860	MAF40-336	targets
MAF40-337	C0	PvP01_12_v1	1840021	1840321	MAF40-337	targets
MAF40-338	C0	PvP01_12_v1	2365191	2365491	MAF40-338	targets
MAF40-339	C0	PvP01_13_v1	57068	57368	MAF40-339	targets
MAF40-340	C0	PvP01_13_v1	92434	92734	MAF40-340	targets
MAF40-341	C0	PvP01_13_v1	165323	165623	MAF40-341	targets
MAF40-342	C0	PvP01_13_v1	168752	169052	MAF40-342	targets
MAF40-343	C0	PvP01_13_v1	227836	228136	MAF40-343	targets
MAF40-344	C0	PvP01_13_v1	294629	294929	MAF40-344	targets
MAF40-345	C0	PvP01_13_v1	623250	623550	MAF40-345	targets
MAF40-346	C0	PvP01_13_v1	697089	697389	MAF40-346	targets
MAF40-347	C0	PvP01_13_v1	1007541	1007841	MAF40-347	targets
MAF40-348	C0	PvP01_13_v1	1046785	1047085	MAF40-348	targets
MAF40-349	C0	PvP01_13_v1	1103319	1103620	MAF40-349,MAF40-350	targets
MAF40-351	C0	PvP01_13_v1	1374966	1375266	MAF40-351	targets
MAF40-352	C0	PvP01_13_v1	1480120	1480420	MAF40-352	targets
MAF40-353	C0	PvP01_13_v1	1519989	1520289	MAF40-353	targets
MAF40-354	C0	PvP01_13_v1	1521321	1521621	MAF40-354	targets
MAF40-355	C0	PvP01_13_v1	1530049	1530349	MAF40-355	targets
MAF40-356	C0	PvP01_13_v1	1556939	1557239	MAF40-356	targets
MAF40-357	C0	PvP01_13_v1	1726657	1726991	MAF40-357,MAF40-358	targets
MAF40-359	C0	PvP01_13_v1	1729502	1729802	MAF40-359	targets
MAF40-360	C0	PvP01_13_v1	1745786	1746086	MAF40-360	targets
MAF40-361	C0	PvP01_13_v1	1818650	1818950	MAF40-361	targets
MAF40-362	C0	PvP01_13_v1	1825516	1825816	MAF40-362	targets
MAF40-363	C0	PvP01_13_v1	1953026	1953326	MAF40-363	targets
MAF40-364	C0	PvP01_13_v1	2000119	2000654	MAF40-364,MAF40-365	targets
MAF40-366	C0	PvP01_13_v1	2080058	2080719	MAF40-366,MAF40-367,MAF40-368,MAF40-369,MAF40-370,MAF40-371,MAF40-372,MAF40-373,MAF40-374,MAF40-375,MAF40-376	targets
MAF40-377	C0	PvP01_13_v1	2080892	2081308	MAF40-377,MAF40-378,MAF40-379,MAF40-380	targets
MAF40-381	C0	PvP01_14_v1	29563	29866	MAF40-381,MAF40-382	targets
MAF40-383	C0	PvP01_14_v1	33396	33887	MAF40-383,MAF40-384,MAF40-385,MAF40-386,MAF40-387,MAF40-388	targets
MAF40-389	C0	PvP01_14_v1	325343	325643	MAF40-389	targets
MAF40-390	C0	PvP01_14_v1	595645	595945	MAF40-390	targets
MAF40-391	C0	PvP01_14_v1	608373	608673	MAF40-391	targets
MAF40-392	C0	PvP01_14_v1	813122	813422	MAF40-392	targets
MAF40-393	C0	PvP01_14_v1	815944	816244	MAF40-393	targets
MAF40-394	C0	PvP01_14_v1	830571	830871	MAF40-394	targets
MAF40-395	C0	PvP01_14_v1	978868	979168	MAF40-395	targets
MAF40-396	C0	PvP01_14_v1	1039262	1039562	MAF40-396	targets
MAF40-397	C0	PvP01_14_v1	1155840	1156140	MAF40-397	targets
MAF40-398	C0	PvP01_14_v1	1189488	1189788	MAF40-398	targets
MAF40-399	C0	PvP01_14_v1	1689032	1689332	MAF40-399	targets
MAF40-400	C0	PvP01_14_v1	1858535	1858835	MAF40-400	targets
MAF40-401	C0	PvP01_14_v1	2152134	2152434	MAF40-401	targets
MAF40-402	C0	PvP01_14_v1	2363900	2364200	MAF40-402	targets
MAF40-403	C0	PvP01_14_v1	2444544	2444876	MAF40-403,MAF40-404	targets
MAF40-405	C0	PvP01_14_v1	2919212	2919512	MAF40-405	targets
