Chrom	Start	End	Name	MaxInsertionLength
PvP01_01_v1	225003	225003	MAF5-1	
PvP01_01_v1	225092	225092	MAF5-2	
PvP01_01_v1	225094	225094	MAF5-3	
PvP01_01_v1	442762	442762	MAF5-4	
PvP01_01_v1	442764	442764	MAF5-5	
PvP01_01_v1	442770	442770	MAF5-6	
PvP01_01_v1	442857	442857	MAF5-7	
PvP01_01_v1	442860	442860	MAF5-8	
PvP01_01_v1	442863	442863	MAF5-9	
PvP01_01_v1	442868	442868	MAF5-10	
PvP01_01_v1	519430	519430	MAF5-11	
PvP01_01_v1	519442	519442	MAF5-12	
PvP01_01_v1	519443	519443	MAF5-13	
PvP01_01_v1	519459	519459	MAF5-14	
PvP01_01_v1	519532	519532	MAF5-15	
PvP01_01_v1	519560	519560	MAF5-16	
PvP01_01_v1	519579	519579	MAF5-17	
PvP01_01_v1	519584	519584	MAF5-18	
PvP01_01_v1	519585	519585	MAF5-19	
PvP01_01_v1	519594	519594	MAF5-20	
PvP01_01_v1	519613	519613	MAF5-21	
PvP01_01_v1	519619	519619	MAF5-22	
PvP01_01_v1	605798	605798	MAF5-23	
PvP01_02_v1	119096	119096	MAF5-24	
PvP01_02_v1	119100	119100	MAF5-25	
PvP01_02_v1	119480	119480	MAF5-26	
PvP01_02_v1	119512	119512	MAF5-27	
PvP01_02_v1	119514	119514	MAF5-28	
PvP01_02_v1	119526	119526	MAF5-29	
PvP01_02_v1	119531	119531	MAF5-30	
PvP01_02_v1	335023	335023	MAF5-31	
PvP01_03_v1	550315	550315	MAF5-32	
PvP01_03_v1	550400	550400	MAF5-33	
PvP01_03_v1	822921	822921	MAF5-34	
PvP01_03_v1	822928	822928	MAF5-35	
PvP01_03_v1	822944	822944	MAF5-36	
PvP01_03_v1	822947	822947	MAF5-37	
PvP01_03_v1	822963	822963	MAF5-38	
PvP01_03_v1	822985	822985	MAF5-39	
PvP01_04_v1	1010718	1010718	MAF5-40	
PvP01_04_v1	1010757	1010757	MAF5-41	
PvP01_04_v1	1011149	1011149	MAF5-42	
PvP01_04_v1	1011161	1011161	MAF5-43	
PvP01_04_v1	1011162	1011162	MAF5-44	
PvP01_04_v1	1011181	1011181	MAF5-45	
PvP01_04_v1	1011183	1011183	MAF5-46	
PvP01_04_v1	1011193	1011193	MAF5-47	
PvP01_04_v1	1011204	1011204	MAF5-48	
PvP01_04_v1	1011219	1011219	MAF5-49	
PvP01_04_v1	1011263	1011263	MAF5-50	
PvP01_04_v1	1011271	1011271	MAF5-51	
PvP01_04_v1	1011277	1011277	MAF5-52	
PvP01_04_v1	1011279	1011279	MAF5-53	
PvP01_04_v1	1011282	1011282	MAF5-54	
PvP01_04_v1	1011289	1011289	MAF5-55	
PvP01_04_v1	1011291	1011291	MAF5-56	
PvP01_04_v1	1011293	1011293	MAF5-57	
PvP01_04_v1	1011297	1011297	MAF5-58	
PvP01_04_v1	1011299	1011299	MAF5-59	
PvP01_04_v1	1011300	1011300	MAF5-60	
PvP01_04_v1	1011304	1011304	MAF5-61	
PvP01_04_v1	1011305	1011305	MAF5-62	
PvP01_04_v1	1011312	1011312	MAF5-63	
PvP01_04_v1	1011316	1011316	MAF5-64	
PvP01_04_v1	1011332	1011332	MAF5-65	
PvP01_04_v1	1011360	1011360	MAF5-66	
PvP01_04_v1	1011370	1011370	MAF5-67	
PvP01_04_v1	1011376	1011376	MAF5-68	
PvP01_04_v1	1011378	1011378	MAF5-69	
PvP01_04_v1	1011387	1011387	MAF5-70	
PvP01_04_v1	1011407	1011407	MAF5-71	
PvP01_04_v1	1011416	1011416	MAF5-72	
PvP01_04_v1	1011424	1011424	MAF5-73	
PvP01_04_v1	1011429	1011429	MAF5-74	
PvP01_04_v1	1011434	1011434	MAF5-75	
PvP01_04_v1	1011457	1011457	MAF5-76	
PvP01_04_v1	1011458	1011458	MAF5-77	
PvP01_04_v1	1011462	1011462	MAF5-78	
PvP01_04_v1	1011470	1011470	MAF5-79	
PvP01_04_v1	1011482	1011482	MAF5-80	
PvP01_04_v1	1011488	1011488	MAF5-81	
PvP01_04_v1	1011495	1011495	MAF5-82	
PvP01_04_v1	1011496	1011496	MAF5-83	
PvP01_04_v1	1011498	1011498	MAF5-84	
PvP01_04_v1	1011505	1011505	MAF5-85	
PvP01_04_v1	1011514	1011514	MAF5-86	
PvP01_04_v1	1011515	1011515	MAF5-87	
PvP01_04_v1	1011517	1011517	MAF5-88	
PvP01_04_v1	1011531	1011531	MAF5-89	
PvP01_04_v1	1011536	1011536	MAF5-90	
PvP01_04_v1	1011604	1011604	MAF5-91	
PvP01_04_v1	1011624	1011624	MAF5-92	
PvP01_04_v1	1011627	1011627	MAF5-93	
PvP01_05_v1	252859	252859	MAF5-94	
PvP01_05_v1	408850	408850	MAF5-95	
PvP01_05_v1	410292	410292	MAF5-96	
PvP01_05_v1	410317	410317	MAF5-97	
PvP01_05_v1	410347	410347	MAF5-98	
PvP01_05_v1	410357	410357	MAF5-99	
PvP01_05_v1	410378	410378	MAF5-100	
PvP01_05_v1	410382	410382	MAF5-101	
PvP01_05_v1	435872	435872	MAF5-102	
PvP01_05_v1	436214	436214	MAF5-103	
PvP01_05_v1	436220	436220	MAF5-104	
PvP01_05_v1	436251	436251	MAF5-105	
PvP01_05_v1	436267	436267	MAF5-106	
PvP01_05_v1	436269	436269	MAF5-107	
PvP01_05_v1	436272	436272	MAF5-108	
PvP01_05_v1	486548	486548	MAF5-109	
PvP01_05_v1	509626	509626	MAF5-110	
PvP01_05_v1	509634	509634	MAF5-111	
PvP01_05_v1	1336048	1336048	MAF5-112	
PvP01_05_v1	1336064	1336064	MAF5-113	
PvP01_05_v1	1336886	1336886	MAF5-114	
PvP01_05_v1	1336894	1336894	MAF5-115	
PvP01_05_v1	1338395	1338395	MAF5-116	
PvP01_05_v1	1345541	1345541	MAF5-117	
PvP01_05_v1	1345625	1345625	MAF5-118	
PvP01_05_v1	1345728	1345728	MAF5-119	
PvP01_05_v1	1345745	1345745	MAF5-120	
PvP01_05_v1	1345763	1345763	MAF5-121	
PvP01_05_v1	1345792	1345792	MAF5-122	
PvP01_05_v1	1346675	1346675	MAF5-123	
PvP01_05_v1	1346679	1346679	MAF5-124	
PvP01_05_v1	1346758	1346758	MAF5-125	
PvP01_05_v1	1346815	1346815	MAF5-126	
PvP01_05_v1	1350336	1350336	MAF5-127	
PvP01_06_v1	514972	514972	MAF5-128	
PvP01_06_v1	514978	514978	MAF5-129	
PvP01_06_v1	514981	514981	MAF5-130	
PvP01_06_v1	514995	514995	MAF5-131	
PvP01_06_v1	514996	514996	MAF5-132	
PvP01_06_v1	515004	515004	MAF5-133	
PvP01_06_v1	515011	515011	MAF5-134	
PvP01_06_v1	515018	515018	MAF5-135	
PvP01_06_v1	515022	515022	MAF5-136	
PvP01_07_v1	3806	3806	MAF5-137	
PvP01_07_v1	6154	6154	MAF5-138	
PvP01_07_v1	6258	6258	MAF5-139	
PvP01_07_v1	6338	6338	MAF5-140	
PvP01_07_v1	6375	6375	MAF5-141	
PvP01_07_v1	6434	6434	MAF5-142	
PvP01_07_v1	6510	6510	MAF5-143	
PvP01_07_v1	6533	6533	MAF5-144	
PvP01_07_v1	6601	6601	MAF5-145	
PvP01_07_v1	6636	6636	MAF5-146	
PvP01_07_v1	6737	6737	MAF5-147	
PvP01_07_v1	6824	6824	MAF5-148	
PvP01_07_v1	7058	7058	MAF5-149	
PvP01_07_v1	7134	7134	MAF5-150	
PvP01_07_v1	7214	7214	MAF5-151	
PvP01_07_v1	7271	7271	MAF5-152	
PvP01_07_v1	7329	7329	MAF5-153	
PvP01_07_v1	146825	146825	MAF5-154	
PvP01_07_v1	326517	326517	MAF5-155	
PvP01_07_v1	541714	541714	MAF5-156	
PvP01_07_v1	1142335	1142335	MAF5-157	
PvP01_07_v1	1142484	1142484	MAF5-158	
PvP01_07_v1	1142529	1142529	MAF5-159	
PvP01_07_v1	1430894	1430894	MAF5-160	
PvP01_07_v1	1434742	1434742	MAF5-161	
PvP01_07_v1	1434792	1434792	MAF5-162	
PvP01_07_v1	1437822	1437822	MAF5-163	
PvP01_07_v1	1437875	1437875	MAF5-164	
PvP01_07_v1	1437910	1437910	MAF5-165	
PvP01_07_v1	1437945	1437945	MAF5-166	
PvP01_07_v1	1437964	1437964	MAF5-167	
PvP01_07_v1	1438020	1438020	MAF5-168	
PvP01_07_v1	1438027	1438027	MAF5-169	
PvP01_07_v1	1438106	1438106	MAF5-170	
PvP01_07_v1	1438129	1438129	MAF5-171	
PvP01_07_v1	1438148	1438148	MAF5-172	
PvP01_07_v1	1438158	1438158	MAF5-173	
PvP01_07_v1	1438190	1438190	MAF5-174	
PvP01_07_v1	1438217	1438217	MAF5-175	
PvP01_07_v1	1438252	1438252	MAF5-176	
PvP01_07_v1	1438277	1438277	MAF5-177	
PvP01_07_v1	1438299	1438299	MAF5-178	
PvP01_07_v1	1438368	1438368	MAF5-179	
PvP01_07_v1	1438598	1438598	MAF5-180	
PvP01_08_v1	288337	288337	MAF5-181	
PvP01_08_v1	290435	290435	MAF5-182	
PvP01_08_v1	510958	510958	MAF5-183	
PvP01_08_v1	510968	510968	MAF5-184	
PvP01_08_v1	511001	511001	MAF5-185	
PvP01_08_v1	511023	511023	MAF5-186	
PvP01_08_v1	520589	520589	MAF5-187	
PvP01_08_v1	520590	520590	MAF5-188	
PvP01_08_v1	520672	520672	MAF5-189	
PvP01_09_v1	1219653	1219653	MAF5-190	
PvP01_09_v1	1219710	1219710	MAF5-191	
PvP01_09_v1	1221472	1221472	MAF5-192	
PvP01_09_v1	1221493	1221493	MAF5-193	
PvP01_09_v1	1223297	1223297	MAF5-194	
PvP01_09_v1	1223335	1223335	MAF5-195	
PvP01_09_v1	1223564	1223564	MAF5-196	
PvP01_09_v1	1225498	1225498	MAF5-197	
PvP01_09_v1	1225535	1225535	MAF5-198	
PvP01_09_v1	1225557	1225557	MAF5-199	
PvP01_09_v1	1225697	1225697	MAF5-200	
PvP01_09_v1	1225762	1225762	MAF5-201	
PvP01_09_v1	1226075	1226075	MAF5-202	
PvP01_09_v1	1226131	1226131	MAF5-203	
PvP01_09_v1	1226193	1226193	MAF5-204	
PvP01_09_v1	1226227	1226227	MAF5-205	
PvP01_09_v1	1226280	1226280	MAF5-206	
PvP01_09_v1	1226308	1226308	MAF5-207	
PvP01_09_v1	1226326	1226326	MAF5-208	
PvP01_09_v1	1226364	1226364	MAF5-209	
PvP01_09_v1	1226432	1226432	MAF5-210	
PvP01_09_v1	1231281	1231281	MAF5-211	
