Name	Copy	Chrom	Start	End	IncludedTargets	CaptureType
SNP-125	C0	PvP01_07_v1	270269	270569	SNP-125	targets
SNP-126	C0	PvP01_07_v1	314579	314879	SNP-126	targets
SNP-127	C0	PvP01_07_v1	357968	358268	SNP-127	targets
SNP-128	C0	PvP01_07_v1	413002	413302	SNP-128	targets
iSNP-22	C0	PvP01_07_v1	494632	494932	iSNP-22	targets
CRMP1-2	C0	PvP01_07_v1	498897	499197	CRMP1-2	targets
CRMP1-1	C0	PvP01_07_v1	499874	500174	CRMP1-1	targets
SNP-3	C0	PvP01_07_v1	507740	508040	SNP-3	targets
SNP-12	C0	PvP01_07_v1	509134	509462	SNP-12,SNP-4	targets
iSNP-23	C0	PvP01_07_v1	509893	510193	iSNP-23	targets
iSNP-24	C0	PvP01_07_v1	512237	512537	iSNP-24	targets
SNP-5	C0	PvP01_07_v1	514388	514688	SNP-5	targets
iSNP-25	C0	PvP01_07_v1	521393	521693	iSNP-25	targets
SNP-129	C0	PvP01_07_v1	525635	525935	SNP-129	targets
SNP-130	C0	PvP01_07_v1	530085	530385	SNP-130	targets
SNP-131	C0	PvP01_07_v1	556757	557057	SNP-131	targets
SNP-132	C0	PvP01_07_v1	563135	563435	SNP-132	targets
SNP-133	C0	PvP01_07_v1	595719	596019	SNP-133	targets
SNP-134	C0	PvP01_07_v1	607968	608268	SNP-134	targets
SNP-135	C0	PvP01_07_v1	721461	721761	SNP-135	targets
SNP-6	C0	PvP01_07_v1	747832	748134	SNP-6	targets
SNP-136	C0	PvP01_07_v1	832084	832384	SNP-136	targets
SNP-137	C0	PvP01_07_v1	897851	898151	SNP-137	targets
SNP-138	C0	PvP01_07_v1	956414	956714	SNP-138	targets
SNP-139	C0	PvP01_07_v1	956936	957380	SNP-139,SNP-140	targets
SNP-141	C0	PvP01_07_v1	1023572	1023872	SNP-141	targets
iSNP-26	C0	PvP01_07_v1	1075824	1076124	iSNP-26	targets
SNP-142	C0	PvP01_07_v1	1121820	1122120	SNP-142	targets
SNP-143	C0	PvP01_07_v1	1423856	1424156	SNP-143	targets
SNP-144	C0	PvP01_07_v1	1456900	1457200	SNP-144	targets
iSNP-27	C0	PvP01_07_v1	1602553	1602853	iSNP-27	targets
iSNP-28	C0	PvP01_07_v1	1612777	1613077	iSNP-28	targets
iSNP-29	C0	PvP01_07_v1	1622983	1623286	iSNP-29,iSNP-30	targets
iSNP-91	C0	PvP01_12_v1	24114	24414	iSNP-91	targets
iSNP-92	C0	PvP01_12_v1	37606	37906	iSNP-92	targets
iSNP-92	C1	Transfer.PvP01_00_14.final	1282	1582	iSNP-92	targets
SNP-229	C0	PvP01_12_v1	98044	98344	SNP-229	targets
iSNP-93	C0	PvP01_12_v1	196167	196467	iSNP-93	targets
iSNP-94	C0	PvP01_12_v1	303014	303314	iSNP-94	targets
iSNP-95	C0	PvP01_12_v1	308441	308741	iSNP-95	targets
TOP3	C0	PvP01_12_v1	313672	313972	TOP3	targets
iSNP-96	C0	PvP01_12_v1	321145	321445	iSNP-96	targets
P47-1	C0	PvP01_12_v1	323449	323853	P47-1,P47-2,P47-3,SNP-230	targets
P47-4	C0	PvP01_12_v1	324082	324382	P47-4	targets
P48-45-1	C0	PvP01_12_v1	327086	327505	P48-45-1,P48-45-2	targets
