Name	Copy	Chrom	Start	End	IncludedTargets	CaptureType
AMA1	C0	PvP01_09_v1	1458051	1461134	AMA1	whole
TRAG36-1	C0	PvP01_09_v1	2174754	2177117	TRAG36-1	whole
DBP2	C0	PvP01_01_v1	103863	107579	DBP2	whole
CRT	C0	PvP01_01_v1	440214	446694	CRT	whole
RBP2b	C0	PvP01_08_v1	33162	43854	RBP2b	whole
CSP	C0	PvP01_08_v1	1508564	1509955	CSP	whole
DBP	C0	PvP01_06_v1	980909	987187	DBP	whole
TRAG38	C0	PvP01_05_v1	150788	152179	TRAG38	whole
GAMA	C0	PvP01_05_v1	252836	256550	GAMA	whole
DHFR-TS	C0	PvP01_05_v1	1075434	1080116	DHFR-TS	whole
TRAG11	C0	PvP01_05_v1	1390051	1392915	TRAG11	whole
RBP2c	C0	PvP01_05_v1	1458461	1467538	RBP2c	whole
MDR1	C0	PvP01_10_v1	476527	484084	MDR1	whole
TRAG34	C0	PvP01_07_v1	45295	46560	TRAG34	whole
RBP1b	C0	PvP01_07_v1	59462	70628	RBP1b	whole
RBP1a	C0	PvP01_07_v1	70956	81130	RBP1a	whole
MSP1	C0	PvP01_07_v1	1215282	1220786	MSP1	whole
TRAG21	C0	PvP01_14_v1	80918	82991	TRAG21	whole
RBP2a	C0	PvP01_14_v1	112536	121531	RBP2a	whole
PPPK-DHPS	C0	PvP01_14_v1	1269606	1272807	PPPK-DHPS	whole
TRAG22	C0	PvP01_14_v1	2983875	2988686	TRAG22	whole
TRAG19	C0	PvP01_11_v1	68355	71599	TRAG19	whole
TRAG26	C0	Transfer.PvP01_00_1.final	39737	41081	TRAG26	whole
TRAG36-2	C0	Transfer.PvP01_00_1.final	57819	59079	TRAG36-2	whole
TRAG32	C0	Transfer.PvP01_00_1.final	72511	75223	TRAG32	whole
