Name	chrom	begin	end	CaptureType
AMA1	PvP01_09_v1	1458201	1460984	exon
CRT	PvP01_01_v1	440364	446544	exon
CSP	PvP01_08_v1	1508714	1509805	exon
DBP	PvP01_06_v1	981059	987037	exon
DBP2	PvP01_01_v1	104013	107429	exon
DHFR-TS	PvP01_05_v1	1075584	1079966	exon
GAMA	PvP01_05_v1	252986	256400	exon
MDR1	PvP01_10_v1	476677	483934	exon
MSP1	PvP01_07_v1	1215432	1220636	exon
PPPK-DHPS	PvP01_14_v1	1269756	1272657	exon
RBP1a	PvP01_07_v1	71106	80980	exon
RBP1b	PvP01_07_v1	59612	70478	exon
RBP2a	PvP01_14_v1	112686	121381	exon
RBP2b	PvP01_08_v1	33312	43704	exon
RBP2c	PvP01_05_v1	1458611	1467388	exon
TRAG11	PvP01_05_v1	1390201	1392765	exon
TRAG19	PvP01_11_v1	68505	71449	exon
TRAG21	PvP01_14_v1	81068	82841	exon
TRAG22	PvP01_14_v1	2984025	2988536	exon
TRAG26	Transfer.PvP01_00_1.final	39887	40931	exon
TRAG32	Transfer.PvP01_00_1.final	72661	75073	exon
TRAG34	PvP01_07_v1	45445	46410	exon
TRAG36-1	PvP01_09_v1	2174904	2176967	exon
TRAG36-2	Transfer.PvP01_00_1.final	57969	58929	exon
TRAG38	PvP01_05_v1	150938	152029	exon
